순번,한자,급수,부수,음,훈,音,訓
200,崖,2,山,애,벼랑,ガイ,がけ
201,涯,2.5,水,애,생애,ガイ,みぎわ・はて
202,街,7,行,가,거리,ガイ・カイ,まち・ちまた
203,慨,3,心,개,슬퍼하다,ガイ・カイ,なげ(く)・いきどお(る)
204,蓋,2,艸,개,뚜껑,ガイ・コウ,ふた・おお(う)・おお(い)・かさ・けだ(し)
205,該,3,言,해,갖추다,ガイ・カイ,か(ねる)・そな(わる)・そ(の)
206,概,3,木,개,대개,ガイ・カイ,おおむ(ね)
207,骸,2,骨,해,시체,ガイ・カイ,むくろ・ほね
208,垣,2.5,土,원,담,エン,かき
209,柿,2,木,시,감,シ,かき
210,各,7,口,각,각각,カク,おのおの
211,角,9,角,각,"모서리, 뿔",カク,かど・つの・すみ・くら(べる)
212,拡,5,手,확,넑히다,カク,ひろ(がる)・ひろ(げる)
213,革,5,革,혁,"가죽, 혁명",カク,かわ・あらた(まる)・あらた(める)
214,格,6,木,격,격식,カク・コウ・キャク・ゴウ,いた(る)・ただ(す)・う(つ)
215,核,2.5,木,핵,"씨, 핵",カク,さね
216,殻,2.5,殳,각,껍질,カク,から
217,郭,3,邑,곽,둘레,カク,くるわ
218,覚,7,見,각,"외우다, 느끼다, 깨다",カク,おぼ(える)・さ(ます)・さ(める)・さと(る)・さと(り)
219,較,4,車,교,비교하다,カク・コウ,くら(べる)
220,隔,3,阜,격,"멀어지다, 사이에 두다",カク,へだ(てる)・へだ(たる)
221,閣,5,門,각,집,カク,たかどの・たな
222,確,6,石,확,"확실, 확인하다",カク,たし(か)・たし(かめる)・しか(と)・しっか(り)・かた(い)
223,獲,4,犬,획,획득하다,カク,え(る)
224,嚇,2.5,口,혁,성내다,カク,いか(る)・おど(す)・おど(かす)
225,穫,3,禾,확,거두다,カク,か(る)・とりい(れる)
226,学,10,子,학,배우다,ガク,まな(ぶ)
227,岳,3,山,악,산악,ガク,たけ
228,楽,9,木,"락, 악",즐겁다,ガク・ラク・ゴウ・ギョウ,たの(しい)・たの(しむ)・かな(でる)・この(む)
229,額,6,頁,액,이마,ガク,ひたい・ぬか(ずく)
230,顎,2,頁,악,턱,ガク,あご
231,掛,3,手,괘,걸다,無し,か(ける)・か(かる)・かかり
232,潟,7,水,석,갯벌,セキ,かた
233,括,2.5,手,괄,묶다,カツ,くく(る)・くび(る)・くび(れる)
234,活,9,水,활,살다,カツ,い(きる)・い(ける)・い(かす)
235,喝,2.5,口,갈,꾸짖다,カツ,しか(る)・おど(す)
236,渇,2.5,水,갈,목마르다,カツ,かわ(く)・むさぼ(る)
237,割,5,刀,할,"나누다, 가르다, 깨지다",カツ,わ(る)・わり・わ(れる)・さ(く)
238,葛,2,艸,갈,칡,カツ,くず・かたびら・かずら・つづら
239,滑,3,水,"활, 골",미끄럽다,カツ・コツ,すべ(る)・なめ(らか)・ぬめ(る)
240,褐,2.5,衣,갈,갈색,カツ,ぬのこ
241,轄,2.5,車,할,다스리다,カツ,くさび・とりし(まる)
242,且,2.5,一,차,게다가,ショ,か(つ)・しばら(く)・まさ(に…す)
243,株,5,木,주,주식,シュ,かぶ
244,釜,2,金,부,가마솥,フ,かま
245,鎌,2,金,겸,낫,レン,かま
246,刈,4,刀,예,베다,ガイ・カイ,か(る)
247,干,5,干,간,말리다,カン,ほ(す)・ひ(る)・おか(す)・かか(わる)・もと(める)・たて
248,刊,6,刀,간,새기다,カン,けず(る)・きざ(む)
249,甘,4,甘,감,"달다, 응석부리다",カン,あま(い)・あま(える)・あま(やかす)・うま(い)
250,汗,4,水,한,땀,カン,あせ
251,缶,2.5,缶,관,통,カン,かま
252,完,7,宀,완,완전,カン,まっと(うする)
253,肝,3,肉,간,간,カン,きも
254,官,7,宀,관,벼슬,カン,つかさ・おおやけ
255,冠,3,冖,관,"갓, 왕관",カン,かんむり・かむ(る)
256,巻,5,卩,권,"책, 말다",カン・ケン,ま(く)・まき
257,看,5,目,간,돌보다,カン,み(る)
258,陥,2.5,阜,함,빠지다,カン,おちい(る)・おとしい(れる)
259,乾,4,乙,건,마르다,カン・ケン,かわ(く)・かわ(かす)・ほ(す)・ひ・いぬい
260,勘,3,力,감,헤아리다,カン,かんが(える)
261,患,2.5,心,환,앓다,カン・ゲン,わずら(う)・うれ(える)・うれ(い)
262,貫,3,貝,관,꿰뚫다,カン・ワン,つらぬ(く)・ぬき・ぬ(く)・ひ(く)
263,寒,8,宀,한,춥다,カン,さむ(い)・さび(しい)・まず(しい)・いや(しい)
