순번,한자,급수,부수,음,훈,音,訓,예시 단어
113,殴,3,殳,구,때리다,オウ,なぐ(る)・う(つ)・たた(く),"殴る(なぐる), 殴打(おうだ)"
114,桜,6,木,앵,"벚꽃, 앵두",オウ,さくら,"桜花(おうか), 芝桜(しばざくら), 桜島大根(さくらじまだいこん), 山桜(やまざくら), 桜桃(おうとう)"
115,翁,2.5,羽,옹,늙은이,オウ,おきな,
116,奥,4,大,오,"속, 부인",オウ,おく・くま,"奥さん(おくさん), 奥様(おくさま), 奥行き(おくゆき), 奥山(おくやま), 奥深さ(おくふかさ)"
117,横,8,木,횡,가로,オウ・コウ,よこ・よこ(たわる),"横浜(よこはま), 横綱(よこづな), 横に(よこに), 横手(よこて), 横断(おうだん)"
118,岡,7,山,강,산등성이,コウ,おか,"福岡(ふくおか), 静岡(しずおか), 福岡県(ふくおかけん), 静岡県(しずおかけん), 岡山県(おかやまけん)"
119,屋,8,尸,옥,집,オク,や・いえ・やね,"名古屋(なごや), 部屋(へや), 屋根(やね), 居酒屋(いざかや), 家屋(かおく)"
120,億,7,人,억,100000000,オク,おしはか(る),"億円(おくえん), 億劫(おくこう), 数億円(すうおくえん), 百億(ひゃくおく)"
121,憶,4,心,억,생각하다,オク,おぼ(える)・おも(う),"記憶(きおく), 記憶力(きおくりょく), 憶測(おくそく), 記憶喪失(きおくそうしつ)"
122,臆,2,肉,억,"가슴, 억지",オク,おしはか(る),臆病(おくびょう)
123,虞,2.5,虍,우,염려,グ,おそれ,
124,乙,3,乙,을,두 번째,オツ・イツ,きのと・おと,"乙女(おとめ), 早乙女(さおとめ)"
125,俺,2,人,엄,나,エン,おれ・われ,"俺たち(おれたち), 俺様(おれさま)"
126,卸,3,卩,사,도매하다,シャ,おろ(す)・おろし,"卸売市場(おろしうりしじょう), 卸売(おろしうり), 卸し(おろし), 卸業者(おろしぎょうしゃ), 卸会社(おろしがいしゃ)"
127,音,10,音,음,소리,オン・イン,おと・ね・たよ(り),"音楽(おんがく), 録音(ろくおん), 音声(おんじょう), 本音(ほんね), 初音(はつね)"
128,恩,5,心,은,은혜,オン,めぐ(み),"恩返し(おんがえし), 恩恵(おんけい), 恩師(おんし), 恩人(おんじん), 恩愛(おんあい)"
129,温,8,水,온,따뜻하다,オン・ウン,あたた(か)・あたた(かい)・あたた(まる)・あたた(める)・ぬく(い)・ぬる(い)・ぬく(める)・ぬく(まる)・たず(ねる)・つつ(む),"気温(きおん), 温泉(おんせん), 温暖(おんだん), 温室効果ガス(おんしつこうかガス), 温かい(あたたかい)"
130,穏,3,禾,온,평온함,オン,おだ(やか)・やす(らか),"穏やか(おだやか), 平穏(へいおん), 静穏(せいおん), 穏便(おんびん), 穏健派(おんけんは)"
131,下,10,一,하,"아래, 내리다, 내려오다",カ・ゲ,した・しも・もと・さ(げる)・さ(がる)・くだ(る)・くだ(す)・くだ(さる)・お(ろす)・お(りる),"下さい(ください), 以下(いか), 低下(ていか), 下げ(さげ), 下旬(げじゅん)"
132,化,8,匕,화,"되다, 둔갑하다, 홀리다, 괴물",カ・ケ,ば(ける)・ば(かす)・か(わる)・か(える),"文化(ぶんか), 強化(きょうか), 変化(へんか), 化する(かする), 悪化(あっか)"
133,火,10,火,화,불,カ・コ,ひ・ほ,"火災(かさい), 火山(かざん), 噴火(ふんか), 火口(かこう), 火山活動(かざんかつどう)"
134,加,7,力,가,더하다,カ,くわ(える)・くわ(わる),"参加(さんか), 追加(ついか), 増加(ぞうか), に加え(にくわえ), 加入(かにゅう)"
135,可,6,口,가,옳다,カ・コク,よ(い)・べ(し),"可能性(かのうせい), 可能(かのう), 可愛い(かわいい), 可能性が高い(かのうせいがたかい), 許可(きょか)"
136,仮,6,人,가,"거짓, 만약",カ・ケ,かり・か(す),"仮面(かめん), 仮に(かりに), 仮設(かせつ), 仮称(かしょう), 仮想(かそう)"
137,何,9,人,하,무엇,カ,なに・なん・いず(れ)・いず(く),"何か(なにか), 何も(なにも), 何度も(なんども), 何の(どの), 何とか(なんとか)"
138,花,10,艸,화,꽃,カ・ケ,はな,"花粉(かふん), 花園(かえん), 開花(かいか), 花火(はなび), 花束(はなたば)"
139,佳,3,人,가,아름답다,カ,よ(い),"佳作(かさく), 佳境(かきょう)"
140,価,6,人,가,값,カ,あたい,"価格(かかく), 評価(ひょうか), 価値(かち), 株価(かぶか), 価値観(かちかん)"
141,果,7,木,과,"열매, 끝, 완수하다, 끝나다",カ,は(たす)・は(てる)・は(て)・くだもの・おお(せる)・はか,"結果(けっか), 効果(こうか), 成果(せいか), 果たして(はたして), 温室効果ガス(おんしつこうかガス)"
142,河,6,水,하,물,カ,かわ,"銀河(ぎんが), 河内(はのい), 河原(かわはら), 河川(かせん), 大河ドラマ(たいがドラマ)"
143,苛,2,艸,가,"가혹, 초조해지다",カ,から(い)・きび(しい)・むご(い)・わずら(わしい)・いら(だつ)・さいな(む)・いじ(める),"苛め(いじめ), 苛立ち(いらだち)"
144,科,9,禾,과,과목,カ,とが・しな・しぐさ,"科学(かがく), 理科(りか), 内科(ないか), 学科(がっか), 文部科学省(もんぶかがくしょう)"
145,架,3,木,가,"걸이, 걸치다",カ,か(ける)・か(かる)・たな,"架空(かくう), 高架(こうか), 架線(かせん), 架ける(かける), 十字架(じゅうじか)"
