순번,한자,구자,급수,부수,음,훈,内音,内訓,外音,外訓,音,訓
1369,蓄,,4,艸,축,"비축하다, 모으다",チク,たくわ(える),,,チク,たくわ(える)
1370,築,,6,竹,축,쌓다,チク,きず(く),,つ(く),チク,きず(く)・つ(く)
1371,秩,,2.5,禾,질,질서,チツ,,,つい(で)・ふち,チツ,つい(で)・ふち
1372,窒,,3,穴,질,막히다,チツ,,,ふさ(がる),チツ,ふさ(がる)
1373,茶,,9,艸,"다, 차",차,チャ・サ,,,,チャ・サ,無し
1374,着,,8,羊,착,"옷, 입다, 도착하다",チャク・ジャク,き(る)・き(せる)・つ(く)・つ(ける),,,チャク・ジャク,き(る)・き(せる)・つ(く)・つ(ける)
1375,嫡,,2.5,女,적,정실,チャク,,テキ,よつぎ,チャク・テキ,よつぎ
1376,中,,10,丨,중,"가운데, 안",チュウ・ジュウ,なか,,あ(たる)・あ(てる),チュウ・ジュウ,なか・あ(たる)・あ(てる)
1377,仲,,7,人,중,사이,チュウ,なか,,,チュウ,なか
1378,虫,蟲,10,虫,충,벌레,チュウ,むし,,,チュウ,むし
1379,沖,,7,水,충,먼바다,チュウ,おき,,と(ぶ)・むな(しい),チュウ,おき・と(ぶ)・むな(しい)
1380,宙,,5,宀,주,집,チュウ,,,そら,チュウ,そら
1381,忠,,5,心,충,충성,チュウ,,,まごころ,チュウ,まごころ
1382,抽,,3,手,추,뽑다,チュウ,,,ひ(く)・ぬ(く),チュウ,ひ(く)・ぬ(く)
1383,注,,8,水,주,"쏟다, 붓다, 따르다",チュウ,そそ(ぐ),,つ(ぐ)・さ(す),チュウ,そそ(ぐ)・つ(ぐ)・さ(す)
1384,昼,晝,9,日,주,낮,チュウ,ひる,,,チュウ,ひる
1385,柱,,8,木,주,기둥,チュウ,はしら,,,チュウ,はしら
1386,衷,,2.5,衣,충,속마음,チュウ,,,うち・こころ・まこと,チュウ,うち・こころ・まこと
1387,酎,,2,酉,주,술,チュウ,,,,チュウ,無し
1388,鋳,鑄,3,金,주,주조하다,チュウ,い(る),シュ,,チュウ・シュ,い(る)
